Date,Close,Volume,Close Off High,Day Diff,Volatility,SIA,Movement
2018-01-02 00:00:00,14982.1,16846600000,-5944.7610697063,-996.0366972477,0.167412844,0.2666666667,Up
2018-01-03 00:00:00,15201,16871900000,210.0782644515,-148.7495159632,0.0486240002,0.2131147541,Up
2018-01-04 00:00:00,15599.2,21783200000,-7691.9917864476,-215.1178400466,0.0797278448,0.1818181818,Up
2018-01-05 00:00:00,17429.5,23840900000,-7796.5153452685,-1261.4038715013,0.1616829918,0.1584699454,Up
2018-01-06 00:00:00,17527,18314600000,-6087.7822325385,-37.1662056683,0.0542775497,0.1698113208,Down
2018-01-07 00:00:00,16477.6,15866000000,4773.1081171661,598.8942963263,0.0851186435,0.2145214521,Down
2018-01-08 00:00:00,15170.1,18413900000,1742.2844143023,792.71919496,0.1413978951,0.2222222222,Down
2018-01-09 00:00:00,14595.4,16660000000,6806.7070330694,349.3192803348,0.0709813075,0.197740113,Up
2018-01-10 00:00:00,14973.3,18500800000,-10000,-263.7694074099,0.0878842924,0.2050632911,Down
2018-01-11 00:00:00,13405.8,16534100000,6864.4466516807,1043.8128833126,0.1277975976,0.2083333333,Up
2018-01-12 00:00:00,13980.6,12065700000,-5348.0126889345,-391.4849969154,0.0796646326,0.2189349112,Up
2018-01-13 00:00:00,14360.2,12763600000,-1534.4364304908,-292.2794644649,0.050679453,0.219330855,Down
2018-01-14 00:00:00,13772,11084100000,1895.8031837916,416.6782642581,0.0865505052,0.2160278746,Up
2018-01-15 00:00:00,13819.8,12750800000,5568.5493903957,-38.1338388791,0.0583847232,0.2156862745,Down
2018-01-16 00:00:00,11490.5,18853800000,2897.3192259196,1695.2754027508,0.2636725667,0.217791411,Down
2018-01-17 00:00:00,11188.6,18830600000,-5698.9247311828,212.1405639002,0.1990805784,0.2289855072,Up
2018-01-18 00:00:00,11474.9,15020400000,858.5164835165,-246.5442726006,0.1040111441,0.2552631579,Up
2018-01-19 00:00:00,11607.4,10740400000,-608.0175459973,-155.3832962956,0.0718035311,0.2594458438,Up
2018-01-20 00:00:00,12899.2,11801700000,-7182.7481338126,-1066.3852713577,0.1241227844,0.2641737033,Down
2018-01-21 00:00:00,11600.1,9935180000,6119.9228711824,1000.1396518015,0.124732334,0.2635212888,Down
2018-01-22 00:00:00,10931.4,10537400000,1991.6579770595,603.1926141785,0.1483869304,0.269058296,Down
2018-01-23 00:00:00,10868.4,9660610000,-1839.0896706467,69.5326419663,0.114020741,0.2795698925,Up
2018-01-24 00:00:00,11359.4,9940990000,-6703.8068709378,-418.2181704789,0.0790212227,0.2819472617,Down
2018-01-25 00:00:00,11259.4,8873170000,4452.8353700398,142.0979363843,0.0637645885,0.2782526116,Down
2018-01-26 00:00:00,11171.4,9746200000,-1818.9480782198,75.1599147122,0.1054015636,0.265758092,Up
2018-01-27 00:00:00,11440.7,7583270000,-4431.8363432955,-237.854477445,0.0559915525,0.2696629213,Up
2018-01-28 00:00:00,11786.3,8350360000,-1008.8495575221,-271.016879733,0.0492361855,0.2759968726,Down
2018-01-29 00:00:00,11296.4,7107360000,6634.118322803,390.540598018,0.0592403556,0.2708018154,Down
2018-01-30 00:00:00,10106.3,8637860000,8896.9315499607,1061.750451056,0.112410231,0.2744525547,Up
2018-01-31 00:00:00,10221.1,8041160000,-4687.0138038333,-111.6914979917,0.0597712748,0.2802721088,Down
2018-02-01 00:00:00,9170.54,9959400000,5147.2381003982,1042.0325671808,0.1442294355,0.2820846906,Down
2018-02-02 00:00:00,8830.75,12726900000,-5370.3029447388,340.7574478139,0.1472050736,0.279698303,Up
2018-02-03 00:00:00,9174.91,7263790000,-5660.4925707307,-364.647112782,0.13320199,0.2699757869,Down
2018-02-04 00:00:00,8277.01,7073550000,6229.2026234035,979.4239131619,0.1420763538,0.2811059908,Down
2018-02-05 00:00:00,6955.27,9285290000,7530.2208735449,1590.3072834422,0.1944443773,0.276974416,Up
2018-02-06 00:00:00,7754,13999800000,-8927.0100530392,-995.852093452,0.255601801,0.2800435019,Down
2018-02-07 00:00:00,7621.3,9169280000,3955.7658450704,173.02581784,0.1640541088,0.2837064029,Up
2018-02-08 00:00:00,8265.59,9346750000,-3632.8197109381,-821.8663342874,0.1205717308,0.2922201139,Up
2018-02-09 00:00:00,8736.98,6784820000,-10000,-562.3174529488,0.1030326989,0.2937931034,Down
2018-02-10 00:00:00,8621.9,7780960000,2106.4467766117,112.590710177,0.0948477537,0.2969099866,Down
2018-02-11 00:00:00,8129.97,6122190000,4193.8309271127,564.2440399576,0.0795055321,0.2854700855,Up
2018-02-12 00:00:00,8926.57,6256440000,-8594.4179327168,-964.3760371335,0.1037274779,0.2828919714,Down
2018-02-13 00:00:00,8598.31,5696720000,4318.7691329066,367.8954868081,0.0563544056,0.283218204,Up
2018-02-14 00:00:00,9494.63,7909820000,-9479.4365461235,-1040.3701429781,0.1068172727,0.2805923617,Up
2018-02-15 00:00:00,10166.4,9062540000,-8369.9149209981,-714.6470608074,0.0884476915,0.2690854119,Up
2018-02-16 00:00:00,10233.9,7296160000,-6386.7969876622,-96.8852669278,0.0492595479,0.2647165042,Up
2018-02-17 00:00:00,11112.7,8660880000,-9458.6405413595,-886.798922361,0.0969973059,0.2656526353,Down
2018-02-18 00:00:00,10551.8,8744010000,5588.9822230905,513.8716579463,0.0920402035,0.2663006177,Up
2018-02-19 00:00:00,11225.3,7652090000,-8724.6910333947,-637.4732293463,0.0720770237,0.2627146097,Up
2018-02-20 00:00:00,11403.7,9926540000,5269.0243566809,-153.0475970014,0.0647002261,0.26289149,Down
2018-02-21 00:00:00,10690.4,9405340000,5501.3838620396,599.5321925397,0.0826049489,0.2487922705,Down
2018-02-22 00:00:00,10005,8040080000,8801.6472577522,614.7986942329,0.1031865596,0.233434149,Up
2018-02-23 00:00:00,10301.1,7739500000,-5052.7406541436,-366.3353483472,0.0757506991,0.2288770053,Down
2018-02-24 00:00:00,9813.07,6917930000,4932.5385867858,461.3567658466,0.1020859862,0.2313296903,Down
2018-02-25 00:00:00,9664.73,5706940000,15.8865468072,134.4266579016,0.0526886352,0.2239179385,Up
2018-02-26 00:00:00,10366.7,7287690000,-7774.5127251431,-721.107655777,0.1006543302,0.220855878,Up
2018-02-27 00:00:00,10725.6,6966180000,-5164.4528779254,-319.1294894121,0.0608433793,0.2209611205,Down
2018-02-28 00:00:00,10397.9,6936190000,9862.207549878,270.6976570103,0.065190134,0.2216164968,Up
2018-03-01 00:00:00,10951,7317280000,-7104.0594625501,-545.0168512277,0.0673663938,0.2196706101,Up
2018-03-02 00:00:00,11086.4,7620590000,-3945.1165535556,-99.2949150072,0.0308725199,0.2198128281,Up
2018-03-03 00:00:00,11489.7,6690570000,-8535.5648535565,-349.3095776399,0.0473612625,0.2215034575,Up
2018-03-04 00:00:00,11512.6,6084150000,-10000,-13.2203802599,0.032746534,0.2198088619,Up
2018-03-05 00:00:00,11573.3,6468540000,53.804765565,-35.4652977698,0.0225625195,0.21463107,Down
2018-03-06 00:00:00,10779.9,6832170000,7875.4033258873,626.2554238659,0.0700689559,0.2105586249,Down
2018-03-07 00:00:00,9965.57,8797910000,5580.1774717549,775.9512768537,0.1145308639,0.2087515054,Down
2018-03-08 00:00:00,9395.01,7186090000,8542.5061303957,559.1452091356,0.081549002,0.2062806673,Down
2018-03-09 00:00:00,9337.55,8704190000,-7297.8643057945,81.9357833343,0.1012587775,0.2002995133,Down
