Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-06-01 00:00:00,7492.28,7538.23,7484.46,7506.67,300.32,2255034.8,7508.79
2018-06-01 01:00:00,7506.62,7507.6,7474.7,7492.24,112.12,840220.68,7494.26
2018-06-01 02:00:00,7492.09,7522.7,7479.63,7492.96,184.35,1383157.8,7502.83
2018-06-01 03:00:00,7487.19,7506.36,7452.35,7493.29,186.06,1392337.88,7483.27
2018-06-01 04:00:00,7494.75,7496.59,7469.47,7489.3,129.95,972777.27,7485.86
2018-06-01 05:00:00,7489.56,7501.37,7482.57,7491.64,170.05,1274345.71,7494.08
2018-06-01 06:00:00,7491.64,7581.03,7485.28,7547.99,616.14,4649058.42,7545.43
2018-06-01 07:00:00,7547.99,7620.01,7540.71,7575.94,682.03,5177271.53,7591
2018-06-01 08:00:00,7566.11,7595,7552.7,7593.99,216.93,1642801.7,7572.84
2018-06-01 09:00:00,7595,7605.32,7516.47,7536.77,421.28,3183182.39,7555.89
2018-06-01 10:00:00,7536.77,7559.58,7521.67,7545.99,145.6,1097612.49,7538.52
2018-06-01 11:00:00,7551.65,7567.56,7348.45,7359.99,848.33,6307483.62,7435.16
2018-06-01 12:00:00,7358.77,7418.99,7350.28,7412.18,697.07,5151775.32,7390.57
2018-06-01 13:00:00,7406.82,7430,7388.23,7427.52,183.75,1361674.89,7410.65
2018-06-01 14:00:00,7424.99,7443.92,7409,7422.05,224.45,1666672.3,7425.52
2018-06-01 15:00:00,7417.5,7450,7383.45,7436.55,339.48,2520356.59,7424.12
2018-06-01 16:00:00,7436.5,7454.05,7424.57,7438.99,177.64,1321438.69,7439.01
2018-06-01 17:00:00,7434.3,7452.28,7398.36,7427.95,210.74,1564192.94,7422.22
2018-06-01 18:00:00,7421.32,7431.98,7388.32,7398.99,200.99,1490073.64,7413.57
2018-06-01 19:00:00,7399.98,7450,7397.07,7436.58,133.29,990532.18,7431.27
2018-06-01 20:00:00,7436.69,7449.93,7394.4,7434.11,216.96,1610705.81,7424.04
2018-06-01 21:00:00,7438.98,7450,7426.58,7435.08,52.52,390677.19,7438.01
2018-06-01 22:00:00,7435.08,7521.99,7428.28,7517.29,212.42,1591179.94,7490.75
2018-06-01 23:00:00,7518.99,7542.85,7502.09,7511.6,100.14,753390.89,7523.12
2018-06-02 00:00:00,7511.72,7531.83,7438.92,7468.3,239.36,1793988.98,7494.98
