Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-05-01 00:00:00,9243.51,9249.99,8962.6,8976.14,1729.16,15646765.19,9048.77
2018-05-01 01:00:00,8976.14,9035.01,8865.2,8995.38,1551.44,13866160.25,8937.59
2018-05-01 02:00:00,8999,9044.58,8941.17,9004.66,693.5,6235557.04,8991.38
2018-05-01 03:00:00,9004.32,9022.7,8920,8943.53,412.21,3694366,8962.39
2018-05-01 04:00:00,8946.1,9000,8941.41,8977.58,454.14,4077809.62,8979.14
2018-05-01 05:00:00,8977.98,8977.98,8900,8939.25,388.84,3475076.23,8937.04
2018-05-01 06:00:00,8934.26,8980.62,8934.26,8978.59,293.1,2625807.23,8958.59
2018-05-01 07:00:00,8978.91,9020.42,8959.25,8977.2,625.78,5622324.7,8984.57
2018-05-01 08:00:00,8977.16,9051.48,8971.33,9035.01,417.42,3766539.73,9023.32
2018-05-01 09:00:00,9035.01,9061.79,9011.62,9028.63,403.45,3646731.34,9038.85
2018-05-01 10:00:00,9034.99,9035.98,8980,9021.13,353.95,3187489.29,9005.42
2018-05-01 11:00:00,9026.8,9048.69,8965,8973.81,251.82,2270753.52,9017.44
2018-05-01 12:00:00,8982.95,8987.99,8815.91,8899.37,1239.85,11044331.84,8907.8
2018-05-01 13:00:00,8903.68,8939.01,8855,8927.41,516.86,4601064.16,8901.96
2018-05-01 14:00:00,8926.08,8938.1,8877,8906,363.28,3235786.86,8907.2
2018-05-01 15:00:00,8906,8950,8893.29,8921.37,207.69,1853223.55,8923.08
2018-05-01 16:00:00,8908.39,8998.04,8902.07,8988.08,183.71,1646806.72,8963.93
2018-05-01 17:00:00,8987.96,9031.99,8948.94,8986.06,166.66,1498235.75,8989.57
2018-05-01 18:00:00,8985.04,9006.99,8941.05,8983.94,209.98,1883536.78,8970.16
2018-05-01 19:00:00,8982,8994.52,8959.51,8959.51,105.89,950336.49,8975.14
2018-05-01 20:00:00,8958.11,9050.13,8955.63,9019.95,571.37,5144840.43,9004.41
2018-05-01 21:00:00,9019.95,9096.79,9015.2,9078,326.88,2964420.96,9068.72
