Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-01 00:00:00,6385.75,6438.55,6361.05,6368.37,377.32,2411761.05,6391.87
2018-07-01 01:00:00,6368.37,6376.9,6320.02,6355.3,438.37,2787892.29,6359.74
2018-07-01 02:00:00,6354.1,6360.25,6326.35,6343.49,176.82,1122553.59,6348.52
2018-07-01 03:00:00,6347.43,6367.54,6334.5,6343.5,108.92,691985.79,6353.18
2018-07-01 04:00:00,6343.51,6356.64,6332.64,6356.07,93.66,594136.22,6343.65
2018-07-01 05:00:00,6352.98,6397.21,6346.44,6371.8,107.03,681418.54,6366.84
2018-07-01 06:00:00,6370.86,6395.3,6347.57,6351.06,194.84,1242097.46,6374.98
2018-07-01 07:00:00,6360.52,6382.9,6359.51,6373.21,96.28,613392.8,6371.19
2018-07-01 08:00:00,6373.21,6383,6360,6383,74.73,475804.71,6366.85
2018-07-01 09:00:00,6383.4,6386.99,6331.93,6354.39,147.8,939820.61,6358.54
2018-07-01 10:00:00,6346.77,6380.07,6346.39,6375.72,75.72,481984.26,6365.67
2018-07-01 11:00:00,6373.19,6378.96,6360,6378.96,43.04,274133.52,6368.86
2018-07-01 12:00:00,6377.33,6384,6335.72,6346.98,189.84,1206679.29,6356.15
2018-07-01 13:00:00,6346.99,6365.18,6326,6348.04,160.82,1020928.35,6348.39
2018-07-01 14:00:00,6348.02,6348.68,6271.38,6293.9,404.88,2552042.17,6303.17
2018-07-01 15:00:00,6293.94,6325.8,6259.34,6315.68,245.59,1544816.44,6290.2
2018-07-01 16:00:00,6318.28,6326.88,6298.1,6314.47,96.09,606267.53,6309.2
2018-07-01 17:00:00,6314.47,6344.06,6307.45,6323.84,200.44,1268309.41,6327.76
2018-07-01 18:00:00,6323.84,6335.86,6307.97,6311.6,72.84,460300.74,6319.73
2018-07-01 19:00:00,6311.51,6324.31,6291.11,6320.77,61.02,384898.71,6307.93
2018-07-01 20:00:00,6314.86,6409.46,6303.99,6342.43,357.93,2278515.16,6365.85
2018-07-01 21:00:00,6342.53,6377.05,6333.63,6360.79,142.54,905085.37,6349.61
2018-07-01 22:00:00,6367.31,6390.58,6355.54,6366.99,105.3,670906.37,6371.49
2018-07-01 23:00:00,6366.66,6389.98,6334.21,6349.99,188.9,1201530.15,6360.59
2018-07-02 00:00:00,6345.48,6359.98,6308.45,6339.61,251.62,1593053.27,6331.3
2018-07-02 01:00:00,6340.12,6345.82,6317.22,6327.37,98.83,625704.19,6331.39
2018-07-02 02:00:00,6323.71,6342.78,6320.64,6335.08,78.91,499692.71,6332.44
2018-07-02 03:00:00,6330.42,6339.23,6317.6,6335.13,106.66,675049.08,6328.79
2018-07-02 04:00:00,6329.83,6333.52,6274.37,6305.67,298.53,1882006.64,6304.33
2018-07-02 05:00:00,6300.71,6310.85,6285.58,6297.07,165.07,1040294.67,6302.24
2018-07-02 06:00:00,6292.91,6322,6270.69,6307.68,172.99,1089413.24,6297.47
2018-07-02 07:00:00,6307.68,6349.47,6304.51,6330.41,329.92,2085910.76,6322.41
2018-07-02 08:00:00,6327.94,6361.32,6322,6335.45,397.94,2522184.35,6338.1
2018-07-02 09:00:00,6338.89,6339,6303.94,6317.99,182.64,1154052.49,6318.72
2018-07-02 10:00:00,6318.05,6352.88,6309.93,6326.1,329.57,2087995.89,6335.44
2018-07-02 11:00:00,6324.75,6351.36,6323.84,6335,323.55,2050751.96,6338.29
2018-07-02 12:00:00,6330.54,6344.99,6320.02,6332.99,156.59,991874.35,6334.06
2018-07-02 13:00:00,6331.08,6664,6327.36,6598.99,2760.21,18043916.24,6537.16
2018-07-02 14:00:00,6597.37,6639.9,6577.41,6605.39,968.69,6400628.98,6607.49
2018-07-02 15:00:00,6605.39,6636.67,6605,6610.94,262.64,1738717.7,6620.15
2018-07-02 16:00:00,6616.98,6626.6,6590.11,6602.93,329.88,2178071.17,6602.7
2018-07-02 17:00:00,6608.67,6624.74,6600,6605,165.71,1095278.35,6609.57
2018-07-02 18:00:00,6605,6633.64,6601.06,6629.07,204.69,1354423.1,6617
2018-07-02 19:00:00,6628.67,6667.57,6608.37,6615.84,381.94,2534867.46,6636.76
2018-07-02 20:00:00,6615.41,6630.53,6608.37,6619.01,158.69,1050172.62,6617.58
2018-07-02 21:00:00,6619.02,6657.95,6615,6637.16,143.52,951814.83,6631.81
2018-07-02 22:00:00,6633.9,6643.66,6608.26,6614.26,298.29,1974342.04,6618.86
2018-07-02 23:00:00,6614.28,6623.3,6593.86,6612.98,232.72,1536430.53,6602.17
