Date,Close,Volume,Close Off High,Day Diff,Volatility,Movement
2017-01-01 00:00:00,998.33,147775000,-7859.3961243803515,-359.77419421787846,0.046053587364838215,Up
2017-01-02 00:00:00,1021.75,222185000,-4442.202363793552,-231.61963509643303,0.03473793835492986,Up
2017-01-03 00:00:00,1043.84,185168000,-9786.476868327392,-217.6977290524657,0.022004698512137728,Up
2017-01-04 00:00:00,1154.73,344946000,-9184.489653973213,-1056.3960168517801,0.11013021830716198,Down
2017-01-05 00:00:00,1013.38,510199000,2663.5314236853324,1239.2693195473448,0.2426495379215547,Down
2017-01-06 00:00:00,902.2,351876000,7757.72088168478,1104.6695062312665,0.160583293894936,Up
2017-01-07 00:00:00,908.59,279550000,-10000.0,-56.44777474017446,0.09411282914033368,Up
2017-01-08 00:00:00,911.2,158715000,1364.7016405263978,-33.363797526895695,0.061078872898245956,Down
2017-01-09 00:00:00,902.83,141877000,-3589.138134592693,113.98975077745135,0.03709868161709968,Up
2017-01-10 00:00:00,907.68,115808000,412.7443881245818,-58.064802092104685,0.015302956429236358,Down
2017-01-11 00:00:00,777.76,310929000,8085.391537430595,1435.4931066378895,0.17254327621900195,Up
2017-01-12 00:00:00,804.83,222326000,-3922.5422045680357,-382.4918083541899,0.09093371862019145,Up
2017-01-13 00:00:00,823.98,168968000,-7951.020408163273,-251.822728743126,0.060964988677930675,Down
2017-01-14 00:00:00,818.41,93063300,4741.493592576285,81.56191676563999,0.027425648980779014,Up
2017-01-15 00:00:00,821.8,71013600,-7107.279693486591,-44.735619820568225,0.01276065221111294,Up
2017-01-16 00:00:00,831.53,82755200,-5792.426367461428,-118.64489279369174,0.017352576115261982,Up
2017-01-17 00:00:00,907.94,155095000,-9343.029087261813,-926.5298754437692,0.09598652145135085,Down
2017-01-18 00:00:00,886.62,225677000,432.4324324324236,250.17319682857365,0.0651000142956113,Up
2017-01-19 00:00:00,899.07,105625000,-4533.793783917149,-120.78708602562101,0.022817840016209987,Down
2017-01-20 00:00:00,895.03,86728400,-2945.9241323647957,34.959974169700466,0.013794715922375482,Up
2017-01-21 00:00:00,921.79,111158000,-6494.974874371837,-293.0042990341132,0.0355535704315784,Up
2017-01-22 00:00:00,924.67,116573000,-3568.568568568563,-26.675052319969666,0.04333069474414725,Down
2017-01-23 00:00:00,921.01,73588600,2593.235039028634,48.51431658562949,0.012458130740140435,Down
2017-01-24 00:00:00,892.69,111349000,9748.822605965406,197.54469187859505,0.034973865682786515,Up
2017-01-25 00:00:00,901.54,120831000,-7041.522491349403,-107.8572069243879,0.012960803659520972,Up
2017-01-26 00:00:00,917.59,131958000,-7966.101694915245,-168.44158290761249,0.018960759760192392,Up
2017-01-27 00:00:00,919.75,125594000,-583.4464043418586,-15.135676640968533,0.008025175312513616,Up
2017-01-28 00:00:00,921.59,68979600,1317.0731707313332,-19.351822659028347,0.004457442297865889,Down
